quarter,industry1,industry2,industry3,total_paid_hours
2017-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",50.1
2017-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47.2
2017-Q4,manufacturing,transport equipment,transport equipment,50.6
2017-Q4,manufacturing,other manufacturing industries,other manufacturing industries,48.2
2017-Q4,construction,construction,construction,50.5
2017-Q4,services,wholesale and retail trade,wholesale trade,43.6
2017-Q4,services,wholesale and retail trade,retail trade,41.7
2017-Q4,services,transportation and storage,land transport and supporting services,45
2017-Q4,services,transportation and storage,water transport and supporting services,44.2
2017-Q4,services,transportation and storage,air transport and supporting services,44.8
2017-Q4,services,transportation and storage,other transport and storage services,47.3
2017-Q4,services,accommodation and food services,accommodation,46.1
2017-Q4,services,accommodation and food services,food and beverage services,41.2
2017-Q4,services,information and communications,"telecommunications, broadcasting and publishing",41.8
2017-Q4,services,information and communications,it and other information services,41.8
2017-Q4,services,financial and insurance services,financial services,41.2
2017-Q4,services,financial and insurance services,insurance services,40.1
2017-Q4,services,real estate services,real estate services,44.3
2017-Q4,services,professional services,"legal, accounting and management services",41.1
2017-Q4,services,professional services,architectural and engineering services,45.9
2017-Q4,services,professional services,other professional services,42
2017-Q4,services,administrative and support services,security and investigation,52.4
2017-Q4,services,administrative and support services,cleaning and landscaping,44.1
2017-Q4,services,administrative and support services,other adminstrative and support services,44.4
2017-Q4,services,"community, social and personal services",public administration and education,41.2
2017-Q4,services,"community, social and personal services",health and social services,41.9
2017-Q4,services,"community, social and personal services","arts, entertainment and recreation",43.4
2017-Q4,services,"community, social and personal services","other community, social and personal services",42.1
2017-Q4,others,others,others,45.4
2018-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.9
2018-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",48.7
2018-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.2
2018-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",50
2018-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",46.3
2018-Q1,manufacturing,transport equipment,transport equipment,50.8
2018-Q1,manufacturing,other manufacturing industries,other manufacturing industries,47.9
2018-Q1,construction,construction,construction,50.5
2018-Q1,services,wholesale and retail trade,wholesale trade,43.3
2018-Q1,services,wholesale and retail trade,retail trade,41.5
2018-Q1,services,transportation and storage,land transport and supporting services,44.9
2018-Q1,services,transportation and storage,water transport and supporting services,44.6
2018-Q1,services,transportation and storage,air transport and supporting services,45.1
2018-Q1,services,transportation and storage,other transport and storage services,46.9
2018-Q1,services,accommodation and food services,accommodation,45.8
2018-Q1,services,accommodation and food services,food and beverage services,40.8
2018-Q1,services,information and communications,"telecommunications, broadcasting and publishing",41.6
2018-Q1,services,information and communications,it and other information services,41.6
2018-Q1,services,financial and insurance services,financial services,41.3
2018-Q1,services,financial and insurance services,insurance services,40
2018-Q1,services,real estate services,real estate services,43.9
2018-Q1,services,professional services,"legal, accounting and management services",41.1
2018-Q1,services,professional services,architectural and engineering services,46
2018-Q1,services,professional services,other professional services,41.5
2018-Q1,services,administrative and support services,security and investigation,51.9
2018-Q1,services,administrative and support services,cleaning and landscaping,44.7
2018-Q1,services,administrative and support services,other adminstrative and support services,44.4
2018-Q1,services,"community, social and personal services",public administration and education,41.2
2018-Q1,services,"community, social and personal services",health and social services,42
2018-Q1,services,"community, social and personal services","arts, entertainment and recreation",43.9
2018-Q1,services,"community, social and personal services","other community, social and personal services",41.9
2018-Q1,others,others,others,45.6
2018-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.9
2018-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",48.5
2018-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.4
2018-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",50.2
2018-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",46.8
2018-Q2,manufacturing,transport equipment,transport equipment,50.5
2018-Q2,manufacturing,other manufacturing industries,other manufacturing industries,48.5
2018-Q2,construction,construction,construction,50.6
2018-Q2,services,wholesale and retail trade,wholesale trade,43.5
2018-Q2,services,wholesale and retail trade,retail trade,42.3
2018-Q2,services,transportation and storage,land transport and supporting services,44.9
2018-Q2,services,transportation and storage,water transport and supporting services,44.6
2018-Q2,services,transportation and storage,air transport and supporting services,45
2018-Q2,services,transportation and storage,other transport and storage services,47.3
2018-Q2,services,accommodation and food services,accommodation,45.5
2018-Q2,services,accommodation and food services,food and beverage services,40.6
2018-Q2,services,information and communications,"telecommunications, broadcasting and publishing",41.6
2018-Q2,services,information and communications,it and other information services,41.6
2018-Q2,services,financial and insurance services,financial services,41.2
2018-Q2,services,financial and insurance services,insurance services,40
2018-Q2,services,real estate services,real estate services,44.1
2018-Q2,services,professional services,"legal, accounting and management services",40.9
2018-Q2,services,professional services,architectural and engineering services,46.2
2018-Q2,services,professional services,other professional services,41.5
2018-Q2,services,administrative and support services,security and investigation,51.9
2018-Q2,services,administrative and support services,cleaning and landscaping,44.5
2018-Q2,services,administrative and support services,other adminstrative and support services,44.1
2018-Q2,services,"community, social and personal services",public administration and education,41.1
2018-Q2,services,"community, social and personal services",health and social services,42
2018-Q2,services,"community, social and personal services","arts, entertainment and recreation",44
2018-Q2,services,"community, social and personal services","other community, social and personal services",42
2018-Q2,others,others,others,45.5
2018-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.7
2018-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",48.2
2018-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44
2018-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",50
2018-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47.4
2018-Q3,manufacturing,transport equipment,transport equipment,51.3
2018-Q3,manufacturing,other manufacturing industries,other manufacturing industries,48.3
2018-Q3,construction,construction,construction,50.6
2018-Q3,services,wholesale and retail trade,wholesale trade,43.3
2018-Q3,services,wholesale and retail trade,retail trade,42.2
2018-Q3,services,transportation and storage,land transport and supporting services,45.2
2018-Q3,services,transportation and storage,water transport and supporting services,44.4
2018-Q3,services,transportation and storage,air transport and supporting services,45
2018-Q3,services,transportation and storage,other transport and storage services,46.7
2018-Q3,services,accommodation and food services,accommodation,45.4
2018-Q3,services,accommodation and food services,food and beverage services,40.5
2018-Q3,services,information and communications,"telecommunications, broadcasting and publishing",41.5
2018-Q3,services,information and communications,it and other information services,41.7
2018-Q3,services,financial and insurance services,financial services,41.3
2018-Q3,services,financial and insurance services,insurance services,40.1
2018-Q3,services,real estate services,real estate services,43.9
2018-Q3,services,professional services,"legal, accounting and management services",41.2
2018-Q3,services,professional services,architectural and engineering services,45.9
2018-Q3,services,professional services,other professional services,42.1
2018-Q3,services,administrative and support services,security and investigation,51
2018-Q3,services,administrative and support services,cleaning and landscaping,44.7
2018-Q3,services,administrative and support services,other adminstrative and support services,44.1
2018-Q3,services,"community, social and personal services",public administration and education,41.2
2018-Q3,services,"community, social and personal services",health and social services,42
2018-Q3,services,"community, social and personal services","arts, entertainment and recreation",43.7
2018-Q3,services,"community, social and personal services","other community, social and personal services",41.9
2018-Q3,others,others,others,45.5
2018-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.1
2018-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",47.7
2018-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44
2018-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",49
2018-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47.9
2018-Q4,manufacturing,transport equipment,transport equipment,50.1
2018-Q4,manufacturing,other manufacturing industries,other manufacturing industries,47.3
2018-Q4,construction,construction,construction,49.8
2018-Q4,services,wholesale and retail trade,wholesale trade,43
2018-Q4,services,wholesale and retail trade,retail trade,42.1
2018-Q4,services,transportation and storage,land transport and supporting services,45.9
2018-Q4,services,transportation and storage,water transport and supporting services,44.5
2018-Q4,services,transportation and storage,air transport and supporting services,44.9
2018-Q4,services,transportation and storage,other transport and storage services,46.8
2018-Q4,services,accommodation and food services,accommodation,46
2018-Q4,services,accommodation and food services,food and beverage services,40.6
2018-Q4,services,information and communications,"telecommunications, broadcasting and publishing",41.9
2018-Q4,services,information and communications,it and other information services,41.8
2018-Q4,services,financial and insurance services,financial services,41.4
2018-Q4,services,financial and insurance services,insurance services,40.2
2018-Q4,services,real estate services,real estate services,44.2
2018-Q4,services,professional services,"legal, accounting and management services",41.2
2018-Q4,services,professional services,architectural and engineering services,46.2
2018-Q4,services,professional services,other professional services,42
2018-Q4,services,administrative and support services,security and investigation,50.9
2018-Q4,services,administrative and support services,cleaning and landscaping,44.8
2018-Q4,services,administrative and support services,other adminstrative and support services,44.5
2018-Q4,services,"community, social and personal services",public administration and education,41.2
2018-Q4,services,"community, social and personal services",health and social services,41.9
2018-Q4,services,"community, social and personal services","arts, entertainment and recreation",43.7
2018-Q4,services,"community, social and personal services","other community, social and personal services",43.4
2018-Q4,others,others,others,45.1
2019-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.1
2019-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",47.6
2019-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.3
2019-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",48.7
2019-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",46.3
2019-Q1,manufacturing,transport equipment,transport equipment,50.8
2019-Q1,manufacturing,other manufacturing industries,other manufacturing industries,47.3
2019-Q1,construction,construction,construction,49.5
2019-Q1,services,wholesale and retail trade,wholesale trade,42.9
2019-Q1,services,wholesale and retail trade,retail trade,41.9
2019-Q1,services,transportation and storage,land transport and supporting services,45.8
2019-Q1,services,transportation and storage,water transport and supporting services,44.3
2019-Q1,services,transportation and storage,air transport and supporting services,45.8
2019-Q1,services,transportation and storage,other transport and storage services,46.3
2019-Q1,services,accommodation and food services,accommodation,45.6
2019-Q1,services,accommodation and food services,food and beverage services,40.8
2019-Q1,services,information and communications,"telecommunications, broadcasting and publishing",41.6
2019-Q1,services,information and communications,it and other information services,41.7
2019-Q1,services,financial and insurance services,financial services,41.4
2019-Q1,services,financial and insurance services,insurance services,40.2
2019-Q1,services,real estate services,real estate services,44.2
2019-Q1,services,professional services,"legal, accounting and management services",40.9
2019-Q1,services,professional services,architectural and engineering services,46
2019-Q1,services,professional services,other professional services,41.9
2019-Q1,services,administrative and support services,security and investigation,51.6
2019-Q1,services,administrative and support services,cleaning and landscaping,44.6
2019-Q1,services,administrative and support services,other adminstrative and support services,44.2
2019-Q1,services,"community, social and personal services",public administration and education,41.2
2019-Q1,services,"community, social and personal services",health and social services,41.9
2019-Q1,services,"community, social and personal services","arts, entertainment and recreation",43.8
2019-Q1,services,"community, social and personal services","other community, social and personal services",42.8
2019-Q1,others,others,others,45.3
2019-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.1
2019-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",48
2019-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",43.7
2019-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",49.1
2019-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",46.5
2019-Q2,manufacturing,transport equipment,transport equipment,51.2
2019-Q2,manufacturing,other manufacturing industries,other manufacturing industries,47.6
2019-Q2,construction,construction,construction,50
2019-Q2,services,wholesale and retail trade,wholesale trade,42.9
2019-Q2,services,wholesale and retail trade,retail trade,42.2
2019-Q2,services,transportation and storage,land transport and supporting services,46.9
2019-Q2,services,transportation and storage,water transport and supporting services,44.7
2019-Q2,services,transportation and storage,air transport and supporting services,44.7
2019-Q2,services,transportation and storage,other transport and storage services,46.5
2019-Q2,services,accommodation and food services,accommodation,45.5
2019-Q2,services,accommodation and food services,food and beverage services,40.7
2019-Q2,services,information and communications,"telecommunications, broadcasting and publishing",41.6
2019-Q2,services,information and communications,it and other information services,41.7
2019-Q2,services,financial and insurance services,financial services,41.3
2019-Q2,services,financial and insurance services,insurance services,40.2
2019-Q2,services,real estate services,real estate services,44.4
2019-Q2,services,professional services,"legal, accounting and management services",40.9
2019-Q2,services,professional services,architectural and engineering services,46.4
2019-Q2,services,professional services,other professional services,41.9
2019-Q2,services,administrative and support services,security and investigation,51.5
2019-Q2,services,administrative and support services,cleaning and landscaping,44.3
2019-Q2,services,administrative and support services,other adminstrative and support services,44.5
2019-Q2,services,"community, social and personal services",public administration and education,41.3
2019-Q2,services,"community, social and personal services",health and social services,42
2019-Q2,services,"community, social and personal services","arts, entertainment and recreation",43.7
2019-Q2,services,"community, social and personal services","other community, social and personal services",42.6
2019-Q2,others,others,others,44.8
2019-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.3
2019-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",47.5
2019-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",43.5
2019-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",49.7
2019-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",46.1
2019-Q3,manufacturing,transport equipment,transport equipment,50.5
2019-Q3,manufacturing,other manufacturing industries,other manufacturing industries,47.5
2019-Q3,construction,construction,construction,50.4
2019-Q3,services,wholesale and retail trade,wholesale trade,43.3
2019-Q3,services,wholesale and retail trade,retail trade,42.5
2019-Q3,services,transportation and storage,land transport and supporting services,45.4
2019-Q3,services,transportation and storage,water transport and supporting services,44.7
2019-Q3,services,transportation and storage,air transport and supporting services,43.7
2019-Q3,services,transportation and storage,other transport and storage services,45.8
2019-Q3,services,accommodation and food services,accommodation,45.9
2019-Q3,services,accommodation and food services,food and beverage services,41.3
2019-Q3,services,information and communications,"telecommunications, broadcasting and publishing",41.6
2019-Q3,services,information and communications,it and other information services,41.4
2019-Q3,services,financial and insurance services,financial services,41.8
2019-Q3,services,financial and insurance services,insurance services,40
2019-Q3,services,real estate services,real estate services,44.1
2019-Q3,services,professional services,"legal, accounting and management services",41
2019-Q3,services,professional services,architectural and engineering services,46.3
2019-Q3,services,professional services,other professional services,41.8
2019-Q3,services,administrative and support services,security and investigation,51.7
2019-Q3,services,administrative and support services,cleaning and landscaping,44.7
2019-Q3,services,administrative and support services,other adminstrative and support services,45.2
2019-Q3,services,"community, social and personal services",public administration and education,41.3
2019-Q3,services,"community, social and personal services",health and social services,41.9
2019-Q3,services,"community, social and personal services","arts, entertainment and recreation",43.8
2019-Q3,services,"community, social and personal services","other community, social and personal services",41.8
2019-Q3,others,others,others,45.1
2019-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.1
2019-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",47.4
2019-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.2
2019-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",50.3
2019-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",46.3
2019-Q4,manufacturing,transport equipment,transport equipment,50.1
2019-Q4,manufacturing,other manufacturing industries,other manufacturing industries,47.3
2019-Q4,construction,construction,construction,50.1
2019-Q4,services,wholesale and retail trade,wholesale trade,43.8
2019-Q4,services,wholesale and retail trade,retail trade,42
2019-Q4,services,transportation and storage,land transport and supporting services,46.4
2019-Q4,services,transportation and storage,water transport and supporting services,44.9
2019-Q4,services,transportation and storage,air transport and supporting services,43.7
2019-Q4,services,transportation and storage,other transport and storage services,46.2
2019-Q4,services,accommodation and food services,accommodation,45.9
2019-Q4,services,accommodation and food services,food and beverage services,41.1
2019-Q4,services,information and communications,"telecommunications, broadcasting and publishing",41.9
2019-Q4,services,information and communications,it and other information services,41.5
2019-Q4,services,financial and insurance services,financial services,42.6
2019-Q4,services,financial and insurance services,insurance services,40.6
2019-Q4,services,real estate services,real estate services,44.2
2019-Q4,services,professional services,"legal, accounting and management services",40.9
2019-Q4,services,professional services,architectural and engineering services,45.5
2019-Q4,services,professional services,other professional services,42.2
2019-Q4,services,administrative and support services,security and investigation,50.3
2019-Q4,services,administrative and support services,cleaning and landscaping,44.3
2019-Q4,services,administrative and support services,other adminstrative and support services,44.5
2019-Q4,services,"community, social and personal services",public administration and education,41.4
2019-Q4,services,"community, social and personal services",health and social services,42
2019-Q4,services,"community, social and personal services","arts, entertainment and recreation",43.9
2019-Q4,services,"community, social and personal services","other community, social and personal services",42.5
2019-Q4,others,others,others,45.2
2020-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.2
2020-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",47.4
2020-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44
2020-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",49.2
2020-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",46.4
2020-Q1,manufacturing,transport equipment,transport equipment,49.9
2020-Q1,manufacturing,other manufacturing industries,other manufacturing industries,46.8
2020-Q1,construction,construction,construction,49.5
2020-Q1,services,wholesale and retail trade,wholesale trade,43.5
2020-Q1,services,wholesale and retail trade,retail trade,41.8
2020-Q1,services,transportation and storage,land transport and supporting services,47.3
2020-Q1,services,transportation and storage,water transport and supporting services,44.2
2020-Q1,services,transportation and storage,air transport and supporting services,43.6
2020-Q1,services,transportation and storage,other transport and storage services,45.6
2020-Q1,services,accommodation and food services,accommodation,44.3
2020-Q1,services,accommodation and food services,food and beverage services,40.7
2020-Q1,services,information and communications,"telecommunications, broadcasting and publishing",41.7
2020-Q1,services,information and communications,it and other information services,41.4
2020-Q1,services,financial and insurance services,financial services,41.7
2020-Q1,services,financial and insurance services,insurance services,40.3
2020-Q1,services,real estate services,real estate services,44
2020-Q1,services,professional services,"legal, accounting and management services",41
2020-Q1,services,professional services,architectural and engineering services,45.5
2020-Q1,services,professional services,other professional services,42.1
2020-Q1,services,administrative and support services,security and investigation,50.8
2020-Q1,services,administrative and support services,cleaning and landscaping,43.9
2020-Q1,services,administrative and support services,other adminstrative and support services,44.3
2020-Q1,services,"community, social and personal services",public administration and education,41.3
2020-Q1,services,"community, social and personal services",health and social services,42
2020-Q1,services,"community, social and personal services","arts, entertainment and recreation",43.5
2020-Q1,services,"community, social and personal services","other community, social and personal services",41.5
2020-Q1,others,others,others,45
2020-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.5
2020-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",46.4
2020-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",43.4
2020-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",46.4
2020-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",46.8
2020-Q2,manufacturing,transport equipment,transport equipment,45.4
2020-Q2,manufacturing,other manufacturing industries,other manufacturing industries,47.5
2020-Q2,construction,construction,construction,45.1
2020-Q2,services,wholesale and retail trade,wholesale trade,43.3
2020-Q2,services,wholesale and retail trade,retail trade,41.4
2020-Q2,services,transportation and storage,land transport and supporting services,46.8
2020-Q2,services,transportation and storage,water transport and supporting services,44.3
2020-Q2,services,transportation and storage,air transport and supporting services,41.4
2020-Q2,services,transportation and storage,other transport and storage services,45.8
2020-Q2,services,accommodation and food services,accommodation,44
2020-Q2,services,accommodation and food services,food and beverage services,40.4
2020-Q2,services,information and communications,"telecommunications, broadcasting and publishing",42.1
2020-Q2,services,information and communications,it and other information services,41.1
2020-Q2,services,financial and insurance services,financial services,41.5
2020-Q2,services,financial and insurance services,insurance services,40.2
2020-Q2,services,real estate services,real estate services,43.4
2020-Q2,services,professional services,"legal, accounting and management services",40.8
2020-Q2,services,professional services,architectural and engineering services,43.8
2020-Q2,services,professional services,other professional services,42.2
2020-Q2,services,administrative and support services,security and investigation,49.5
2020-Q2,services,administrative and support services,cleaning and landscaping,43.5
2020-Q2,services,administrative and support services,other adminstrative and support services,43
2020-Q2,services,"community, social and personal services",public administration and education,41.3
2020-Q2,services,"community, social and personal services",health and social services,42
2020-Q2,services,"community, social and personal services","arts, entertainment and recreation",42.7
2020-Q2,services,"community, social and personal services","other community, social and personal services",41.3
2020-Q2,others,others,others,44.9
2020-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.2
2020-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",47
2020-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",43.7
2020-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",48.1
2020-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",46.6
2020-Q3,manufacturing,transport equipment,transport equipment,47.1
2020-Q3,manufacturing,other manufacturing industries,other manufacturing industries,46.1
2020-Q3,construction,construction,construction,48
2020-Q3,services,wholesale and retail trade,wholesale trade,43
2020-Q3,services,wholesale and retail trade,retail trade,41.6
2020-Q3,services,transportation and storage,land transport and supporting services,46.8
2020-Q3,services,transportation and storage,water transport and supporting services,44.3
2020-Q3,services,transportation and storage,air transport and supporting services,42.4
2020-Q3,services,transportation and storage,other transport and storage services,45.4
2020-Q3,services,accommodation and food services,accommodation,44
2020-Q3,services,accommodation and food services,food and beverage services,40.5
2020-Q3,services,information and communications,"telecommunications, broadcasting and publishing",41.9
2020-Q3,services,information and communications,it and other information services,41.1
2020-Q3,services,financial and insurance services,financial services,41.3
2020-Q3,services,financial and insurance services,insurance services,40.1
2020-Q3,services,real estate services,real estate services,43.3
2020-Q3,services,professional services,"legal, accounting and management services",40.9
2020-Q3,services,professional services,architectural and engineering services,44.8
2020-Q3,services,professional services,other professional services,42.9
2020-Q3,services,administrative and support services,security and investigation,49.3
2020-Q3,services,administrative and support services,cleaning and landscaping,44.1
2020-Q3,services,administrative and support services,other adminstrative and support services,44.1
2020-Q3,services,"community, social and personal services",public administration and education,41.4
2020-Q3,services,"community, social and personal services",health and social services,42
2020-Q3,services,"community, social and personal services","arts, entertainment and recreation",43.1
2020-Q3,services,"community, social and personal services","other community, social and personal services",41.5
2020-Q3,others,others,others,44.8
2020-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.7
2020-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",48.7
2020-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",43.9
2020-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",48.6
2020-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47.2
2020-Q4,manufacturing,transport equipment,transport equipment,48.6
2020-Q4,manufacturing,other manufacturing industries,other manufacturing industries,47.3
2020-Q4,construction,construction,construction,49.8
2020-Q4,services,wholesale and retail trade,wholesale trade,42.6
2020-Q4,services,wholesale and retail trade,retail trade,42.6
2020-Q4,services,transportation and storage,land transport and supporting services,45.3
2020-Q4,services,transportation and storage,water transport and supporting services,44.8
2020-Q4,services,transportation and storage,air transport and supporting services,42.8
2020-Q4,services,transportation and storage,other transport and storage services,45.8
2020-Q4,services,accommodation and food services,accommodation,44.5
2020-Q4,services,accommodation and food services,food and beverage services,40
2020-Q4,services,information and communications,"telecommunications, broadcasting and publishing",42.4
2020-Q4,services,information and communications,it and other information services,41.3
2020-Q4,services,financial and insurance services,financial services,41.4
2020-Q4,services,financial and insurance services,insurance services,40
2020-Q4,services,real estate services,real estate services,43.4
2020-Q4,services,professional services,"legal, accounting and management services",41
2020-Q4,services,professional services,architectural and engineering services,45.6
2020-Q4,services,professional services,other professional services,42.3
2020-Q4,services,administrative and support services,security and investigation,48.7
2020-Q4,services,administrative and support services,cleaning and landscaping,44.2
2020-Q4,services,administrative and support services,other adminstrative and support services,44.6
2020-Q4,services,"community, social and personal services",public administration and education,41.5
2020-Q4,services,"community, social and personal services",health and social services,42
2020-Q4,services,"community, social and personal services","arts, entertainment and recreation",43.8
2020-Q4,services,"community, social and personal services","other community, social and personal services",41.1
2020-Q4,others,others,others,45.4
2021-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.5
2021-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",48.3
2021-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",43.7
2021-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",49.4
2021-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47
2021-Q1,manufacturing,transport equipment,transport equipment,48.3
2021-Q1,manufacturing,other manufacturing industries,other manufacturing industries,47.4
2021-Q1,construction,construction,construction,49.5
2021-Q1,services,wholesale and retail trade,wholesale trade,43
2021-Q1,services,wholesale and retail trade,retail trade,42
2021-Q1,services,transportation and storage,land transport and supporting services,46.8
2021-Q1,services,transportation and storage,water transport and supporting services,45.1
2021-Q1,services,transportation and storage,air transport and supporting services,43
2021-Q1,services,transportation and storage,other transport and storage services,46
2021-Q1,services,accommodation and food services,accommodation,44.6
2021-Q1,services,accommodation and food services,food and beverage services,39.9
2021-Q1,services,information and communications,"telecommunications, broadcasting and publishing",41.4
2021-Q1,services,information and communications,it and other information services,41.5
2021-Q1,services,financial and insurance services,financial services,41.3
2021-Q1,services,financial and insurance services,insurance services,40.1
2021-Q1,services,real estate services,real estate services,43.4
2021-Q1,services,professional services,"legal, accounting and management services",41
2021-Q1,services,professional services,architectural and engineering services,45.3
2021-Q1,services,professional services,other professional services,42.2
2021-Q1,services,administrative and support services,security and investigation,47.6
2021-Q1,services,administrative and support services,cleaning and landscaping,44.4
2021-Q1,services,administrative and support services,other adminstrative and support services,44.3
2021-Q1,services,"community, social and personal services",public administration and education,41.5
2021-Q1,services,"community, social and personal services",health and social services,41.9
2021-Q1,services,"community, social and personal services","arts, entertainment and recreation",42.5
2021-Q1,services,"community, social and personal services","other community, social and personal services",40.4
2021-Q1,others,others,others,45.3
2021-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.5
2021-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",48.4
2021-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44
2021-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",49.9
2021-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",48.1
2021-Q2,manufacturing,transport equipment,transport equipment,49
2021-Q2,manufacturing,other manufacturing industries,other manufacturing industries,48.4
2021-Q2,construction,construction,construction,49.7
2021-Q2,services,wholesale and retail trade,wholesale trade,42.7
2021-Q2,services,wholesale and retail trade,retail trade,41.7
2021-Q2,services,transportation and storage,land transport and supporting services,46.6
2021-Q2,services,transportation and storage,water transport and supporting services,45.1
2021-Q2,services,transportation and storage,air transport and supporting services,42.9
2021-Q2,services,transportation and storage,other transport and storage services,46.2
2021-Q2,services,accommodation and food services,accommodation,44.8
2021-Q2,services,accommodation and food services,food and beverage services,39.9
