quarter,industry1,industry2,industry3,total_paid_hours
1993-Q3,manufacturing,other manufacturing industries,other manufacturing industries,50.5
1993-Q3,construction,construction,construction,50.6
1993-Q3,services,wholesale and retail trade,wholesale trade,44.2
1993-Q3,services,wholesale and retail trade,retail trade,42.9
1993-Q3,services,hotels and restaurants,hotels,45.5
1993-Q3,services,hotels and restaurants,restaurants,36.7
1993-Q3,services,"transport, storage and communications","transport, storage and communications",46.8
1993-Q3,services,financial intermediation,financial institutions,44.2
1993-Q3,services,financial intermediation,insurance and pension funding,41.1
1993-Q3,services,business and real estate services,business and real estate services,44.5
1993-Q3,services,"community, social and personal services","community, social and personal services",41.7
1993-Q3,others,others,others,45.1
1993-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.8
1993-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,48.9
1993-Q4,manufacturing,paper products and publishing,paper products and publishing,48.9
1993-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,47.8
1993-Q4,manufacturing,rubber and plastic products,rubber and plastic products,49.7
1993-Q4,manufacturing,fabricated metal products,fabricated metal products,50
1993-Q4,manufacturing,machinery and equipment,machinery and equipment,49.8
1993-Q4,manufacturing,electrical products,electrical products,48.3
1993-Q4,manufacturing,electronic products,electronic products,46.9
1993-Q4,manufacturing,medical and precision instruments,medical and precision instruments,45.6
1993-Q4,manufacturing,transport equipment,transport equipment,52.9
1993-Q4,manufacturing,other manufacturing industries,other manufacturing industries,49.9
1993-Q4,construction,construction,construction,50.6
1993-Q4,services,wholesale and retail trade,wholesale trade,44.2
1993-Q4,services,wholesale and retail trade,retail trade,42.7
1993-Q4,services,hotels and restaurants,hotels,45.5
1993-Q4,services,hotels and restaurants,restaurants,36.4
1993-Q4,services,"transport, storage and communications","transport, storage and communications",46.8
1993-Q4,services,financial intermediation,financial institutions,43.7
1993-Q4,services,financial intermediation,insurance and pension funding,40.7
1993-Q4,services,business and real estate services,business and real estate services,44.4
1993-Q4,services,"community, social and personal services","community, social and personal services",42
1993-Q4,others,others,others,45.3
1994-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.4
1994-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,48
1994-Q1,manufacturing,paper products and publishing,paper products and publishing,49
1994-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,47.9
1994-Q1,manufacturing,rubber and plastic products,rubber and plastic products,50
1994-Q1,manufacturing,fabricated metal products,fabricated metal products,50.7
1994-Q1,manufacturing,machinery and equipment,machinery and equipment,50.4
1994-Q1,manufacturing,electrical products,electrical products,49.2
1994-Q1,manufacturing,electronic products,electronic products,47.9
1994-Q1,manufacturing,medical and precision instruments,medical and precision instruments,47.1
1994-Q1,manufacturing,transport equipment,transport equipment,52.5
1994-Q1,manufacturing,other manufacturing industries,other manufacturing industries,50.2
1994-Q1,construction,construction,construction,50.6
1994-Q1,services,wholesale and retail trade,wholesale trade,44.3
1994-Q1,services,wholesale and retail trade,retail trade,42.7
1994-Q1,services,hotels and restaurants,hotels,45.3
1994-Q1,services,hotels and restaurants,restaurants,36.4
1994-Q1,services,"transport, storage and communications","transport, storage and communications",46.9
1994-Q1,services,financial intermediation,financial institutions,44
1994-Q1,services,financial intermediation,insurance and pension funding,40.6
1994-Q1,services,business and real estate services,business and real estate services,44.2
1994-Q1,services,"community, social and personal services","community, social and personal services",41.6
1994-Q1,others,others,others,44.9
1994-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.5
1994-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,48.5
1994-Q2,manufacturing,paper products and publishing,paper products and publishing,50
1994-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,48.3
1994-Q2,manufacturing,rubber and plastic products,rubber and plastic products,50.7
1994-Q2,manufacturing,fabricated metal products,fabricated metal products,51.6
1994-Q2,manufacturing,machinery and equipment,machinery and equipment,51.4
1994-Q2,manufacturing,electrical products,electrical products,50.3
1994-Q2,manufacturing,electronic products,electronic products,48.8
1994-Q2,manufacturing,medical and precision instruments,medical and precision instruments,47.7
1994-Q2,manufacturing,transport equipment,transport equipment,53.2
1994-Q2,manufacturing,other manufacturing industries,other manufacturing industries,50.6
1994-Q2,construction,construction,construction,51.4
1994-Q2,services,wholesale and retail trade,wholesale trade,44.3
1994-Q2,services,wholesale and retail trade,retail trade,42.7
1994-Q2,services,hotels and restaurants,hotels,45.4
1994-Q2,services,hotels and restaurants,restaurants,35.7
1994-Q2,services,"transport, storage and communications","transport, storage and communications",47
1994-Q2,services,financial intermediation,financial institutions,43.8
1994-Q2,services,financial intermediation,insurance and pension funding,40.6
1994-Q2,services,business and real estate services,business and real estate services,44.5
1994-Q2,services,"community, social and personal services","community, social and personal services",41.7
1994-Q2,others,others,others,45.3
1994-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.5
1994-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,48.1
1994-Q3,manufacturing,paper products and publishing,paper products and publishing,49.4
1994-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,48.2
1994-Q3,manufacturing,rubber and plastic products,rubber and plastic products,50.7
1994-Q3,manufacturing,fabricated metal products,fabricated metal products,51.2
1994-Q3,manufacturing,machinery and equipment,machinery and equipment,51
1994-Q3,manufacturing,electrical products,electrical products,50.9
1994-Q3,manufacturing,electronic products,electronic products,48.1
1994-Q3,manufacturing,medical and precision instruments,medical and precision instruments,47.1
1994-Q3,manufacturing,transport equipment,transport equipment,52.4
1994-Q3,manufacturing,other manufacturing industries,other manufacturing industries,50.7
1994-Q3,construction,construction,construction,51
1994-Q3,services,wholesale and retail trade,wholesale trade,44.2
1994-Q3,services,wholesale and retail trade,retail trade,42.6
1994-Q3,services,hotels and restaurants,hotels,45.5
1994-Q3,services,hotels and restaurants,restaurants,37.7
1994-Q3,services,"transport, storage and communications","transport, storage and communications",46.7
1994-Q3,services,financial intermediation,financial institutions,43.9
1994-Q3,services,financial intermediation,insurance and pension funding,40.5
1994-Q3,services,business and real estate services,business and real estate services,44.3
1994-Q3,services,"community, social and personal services","community, social and personal services",41.7
1994-Q3,others,others,others,45
1994-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.2
1994-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,49.2
1994-Q4,manufacturing,paper products and publishing,paper products and publishing,48.8
1994-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,48.3
1994-Q4,manufacturing,rubber and plastic products,rubber and plastic products,50.7
1994-Q4,manufacturing,fabricated metal products,fabricated metal products,51.2
1994-Q4,manufacturing,machinery and equipment,machinery and equipment,50.7
1994-Q4,manufacturing,electrical products,electrical products,49.9
1994-Q4,manufacturing,electronic products,electronic products,47.2
1994-Q4,manufacturing,medical and precision instruments,medical and precision instruments,47.2
1994-Q4,manufacturing,transport equipment,transport equipment,52.1
1994-Q4,manufacturing,other manufacturing industries,other manufacturing industries,49.9
1994-Q4,construction,construction,construction,50.9
1994-Q4,services,wholesale and retail trade,wholesale trade,44.1
1994-Q4,services,wholesale and retail trade,retail trade,42.5
1994-Q4,services,hotels and restaurants,hotels,45.4
1994-Q4,services,hotels and restaurants,restaurants,38.2
1994-Q4,services,"transport, storage and communications","transport, storage and communications",46.9
1994-Q4,services,financial intermediation,financial institutions,43.6
1994-Q4,services,financial intermediation,insurance and pension funding,40.6
1994-Q4,services,business and real estate services,business and real estate services,44.5
1994-Q4,services,"community, social and personal services","community, social and personal services",41.9
1994-Q4,others,others,others,45.2
1995-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46
1995-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,48.1
1995-Q1,manufacturing,paper products and publishing,paper products and publishing,49.5
